pgs_id,pc1,pc2,pc3
PGS000521,0.35452995948547167,-0.7815114127213126,0.1291489882725088
PGS000522,-0.014805506463946766,-0.05247125022676166,0.01428573792795391
PGS000523,-0.6115820304830965,0.737326738647557,-0.2900682974968146
PGS000524,-0.30024543331331577,0.08278136458690821,-0.18501538119247074
PGS000525,-0.08397715645423173,0.08610327550229037,0.12702060604933993
PGS000526,-0.08397715645423173,0.08610327550229037,0.12702060604933993
PGS000527,-0.5324028601598746,0.6815553332090681,-0.5212301514808848
PGS000528,-0.5346672835154442,0.6884145357509986,-0.5222012443953383
PGS000529,-0.14784480824957622,0.07806768126526013,0.19679055353985586
PGS000530,-0.014102150857404936,-0.09278278939592018,0.15852477354640332
PGS000531,-0.4697507711421474,0.4622608687852703,-0.19597835070832853
PGS000532,-0.44015283372289127,0.35584025203790337,-0.20361394450950338
PGS000533,0.0016657312705267626,-0.11367618699577027,0.11463409482270033
PGS000534,0.0016657312705267626,-0.11367618699577027,0.11463409482270033
PGS000535,-0.5299338438734186,0.6749461294891729,-0.5363241191747201
PGS000536,-0.5327159474722971,0.6803501002038805,-0.5380231034237569
PGS000537,-0.3460858996943533,0.41209970455306993,0.12779973674726747
PGS000538,-0.008161885628637648,-0.06718996052705051,0.10778064506097212
PGS000539,-0.46163393051734297,0.41971636317714983,-0.2276856764202949
PGS000540,-0.4404523243758599,0.36770534826346574,-0.22139240850413705
PGS000773,1.5291410815247422,-3.35871594055698,0.39726806213700383
PGS000774,1.4147856153335736,-3.132070971473075,0.4067288497845217
PGS000775,1.3493799722922013,-3.0033294842727694,0.38703534208877494
PGS000783,21.802903282481832,5.659538897037189,-0.6589033583124989
PGS000873,-0.27229090932288524,0.15706071551424727,0.03564236212488778
PGS001336,-0.38322572506250063,0.22779265791930506,-0.10683064524261479
PGS001337,-0.5187096965108331,0.5124361796981393,-0.2045438367411121
PGS001778,0.55987048682633,-1.3189334039782417,0.20790786034947836
PGS001804,-0.3719175880131573,0.24040130703177137,-0.1312627610986248
PGS002015,-0.46983049188663717,0.48459252427515814,-0.3865949291616182
PGS002242,-0.9462635106175344,2.127557437069137,-2.2078136554117678
PGS002294,-0.7189355287537176,0.17132661624987386,0.7155274444314879
PGS003380,-0.7563561325291422,0.7291974244735911,-0.12550626504046586
PGS003396,-0.12196397153991817,0.16125739449911455,0.03101787247917553
PGS003397,-0.5552825342753757,0.8233180763046993,-0.11959624642610234
PGS003398,-0.423058562194634,0.380461290175342,-0.0027452524897211513
PGS003399,-0.3569768418055757,0.23173185496834484,0.02157681409815562
PGS003738,1.577847602890953,-3.418553374776403,0.3989934237743696
PGS003758,-0.2303746271304049,3.05680768616808,12.394033318619137
PGS003759,-0.45478520060349836,0.88354616962782,0.9375359567202989
PGS003983,-0.5439869039148848,0.6778891167903787,-0.4255203571590696
PGS003999,-0.47452362957770255,0.44282594416294213,-0.22035003254863716
PGS004025,-0.5897348347950777,0.6771928080179468,-0.39255267200650495
PGS004040,-0.5657152839413359,0.6623323102739219,-0.40417129838358357
PGS004053,-0.5117921815615918,0.5852643593699773,-0.40810885127170227
PGS004069,-0.5074697234447079,0.5846355986465548,-0.3928611839734631
PGS004083,-0.5370460700553421,0.6756316981923338,-0.4963517554318414
PGS004107,-0.473210666022156,0.49428446043120133,-0.019842231702988426
PGS004123,-0.44190487984180205,0.36502852127083724,0.014071044297045312
PGS004137,-0.8166088063437347,0.7058673878937685,0.1399017208060588
PGS004153,-0.5682018076535094,0.6956826506424495,-0.43220737778349017
PGS004166,-0.5633157258153084,0.5827092268448915,-0.22553534276754636
PGS004167,-0.5347027877952537,0.523254759125956,-0.21648279980635668
PGS004168,-0.5749038703726636,0.6060490391126394,-0.22716653956624244
PGS004169,-0.5728553698385617,0.6082694373886386,-0.23403977361840325
PGS004170,-0.6178264597376293,0.666513729674618,-0.2179916907900861
PGS004242,-0.40323826057890233,0.3425805218469431,0.027126765413142555
PGS004295,-0.010547175717632801,-0.4182023588776246,-0.011087896481079338
PGS004296,-0.12206745656759711,-0.14974778458392413,-0.007263466801231901
PGS004297,-0.24753643853045107,0.06801215114250674,-0.0783811848410221
PGS004298,-0.2806680298657163,0.028064502957231553,-0.08019636650655805
PGS004441,-0.5229087483932066,0.669289856828417,-0.55236341320932
PGS004511,-0.522873252128573,0.6591321469543605,-0.5828901535829029
PGS004579,-0.5350790290410362,0.6708867472516907,-0.5101033960901723
PGS004611,-1.9016560852699744,2.727065921719667,3.4446201008864206
PGS004688,-0.5250015118769756,0.6387280272361731,-0.5061762951508951
PGS004737,-0.7466561238357687,1.3934353283832754,-1.351922885765651
PGS004738,-0.7463553921286894,1.3932151772708807,-1.3524745432174576
