pgs_id,n_snps,mean_weight,std_weight,sum_abs_weight,max_weight,min_weight,pos_ratio,neg_ratio
PGS000216,330,0.0015902802272727264,0.08384335602639388,17.851940527,0.482737387,-0.65853762,0.5060606060606061,0.49393939393939396
PGS000317,180,0.06499226472056309,0.05739071694353514,11.698607649701355,0.5423242908253617,0.0,0.9722222222222222,0.0
PGS000332,6390808,-2.4419851113129755e-07,4.026781130720966e-05,109.66410655966457,0.023841,-0.010574,0.496988643689499,0.503011356310501
PGS000335,1079089,8.435646942923177e-08,0.00020476276660371596,65.6803738086316,0.03767042,-0.04049097,0.49899313216982105,0.501006867830179
PGS000344,287,0.0065101045296167255,0.06783481790289633,16.9088,0.2687,-0.2408,0.5296167247386759,0.47038327526132406
PGS000345,229,0.007633624454148471,0.06564968937713633,13.1939,0.2687,-0.2408,0.5414847161572053,0.4585152838427948
PGS000346,287,0.00630801393728223,0.06663975932553208,15.2876,0.4284,-0.1566,0.5331010452961672,0.46689895470383275
PGS000347,287,0.006594773519163761,0.07266273085362172,17.6475,0.2812,-0.2913,0.5365853658536586,0.4634146341463415
PGS000472,22,0.0019530959090909088,0.006040480428016789,0.12960399,0.00941033,-0.00984416,0.6363636363636364,0.36363636363636365
PGS000473,1111495,2.8352855234745555e-07,0.00010772487928995323,57.6714673223698,0.01847943,-0.01054336,0.500262259389381,0.49973774061061904
PGS000474,68,0.0017333504411764702,0.005902226607578471,0.37374487,0.0135405,-0.0141511,0.6176470588235294,0.38235294117647056
PGS000475,30041,0.00015001354504117693,0.0016544601178100997,33.24277133041182,0.0140396043519677,-0.0120519795457621,0.5429912452980926,0.4570087547019074
PGS000476,32,0.0022901515625,0.008537109661449075,0.24548661,0.0200544,-0.0126096,0.5625,0.4375
PGS000477,1111495,3.4327950339276344e-07,0.00011094217060013541,59.12185542563786,0.01727772,-0.01162516,0.4999959513987917,0.5000040486012083
PGS000478,120,0.00277994825,0.007660192208174846,0.83638967,0.0200544,-0.0138507,0.5833333333333334,0.4166666666666667
PGS000479,2267,0.0002707675148773655,0.0017083751055496708,2.361535466542664,0.0142881313802437,-0.0107603229439606,0.5831495368328187,0.4168504631671813
PGS000480,20,0.0025225495,0.00818532611274814,0.15105524999999997,0.0192252,-0.0104924,0.6,0.4
PGS000481,1111495,2.1374359570799595e-07,0.00010734176493508878,58.043682745295804,0.01559868,-0.01184023,0.49998605481806035,0.5000139451819396
PGS000482,42,0.001726765476190476,0.007192424859299151,0.26303319000000003,0.0192252,-0.0104924,0.5238095238095238,0.47619047619047616
PGS000483,4047,0.0002222526384674133,0.0016580022436224102,4.295615998499007,0.0147201411795337,-0.0109573776934804,0.5656041512231282,0.43439584877687176
PGS000484,25,0.0032749963999999998,0.002828458214233625,0.09504651,0.00664585,-0.00175248,0.84,0.16
PGS000485,62,0.10513968685634362,0.06776772226817868,6.518660585093304,0.457424847038875,0.048790164169432,1.0,0.0
PGS000486,86,0.10042890637118652,0.06685542571075065,8.63688594792204,0.457424847038875,0.0408220265202546,1.0,0.0
PGS000487,62,0.10513968685634362,0.06776772226817868,6.518660585093304,0.457424847038875,0.048790164169432,1.0,0.0
PGS000488,79,0.0980876578487173,0.06318484933756582,7.748924970048667,0.457424847038875,0.048790164169432,1.0,0.0
PGS000489,49,0.013542857142857143,0.11855733493405908,5.204600000000001,0.2733,-0.2345,0.5102040816326531,0.4897959183673469
PGS000490,49,0.013542857142857143,0.11855733493405908,5.204600000000001,0.2733,-0.2345,0.5102040816326531,0.4897959183673469
PGS000491,1119140,1.7026026940259281e-06,0.00013737559770040723,68.3631706622677,0.02187864,-0.01504145,0.5032087138338367,0.4967912861661633
PGS000492,1120410,1.6832069103639666e-06,0.00013807181947653969,69.00902940696506,0.02229648,-0.01547405,0.5035540561044618,0.49644594389553826
PGS000493,217,0.022541013824884788,0.12240671060370527,22.7642,0.334,-0.3544,0.5576036866359447,0.4423963133640553
PGS000494,49,0.013542857142857143,0.11855733493405908,5.204600000000001,0.2733,-0.2345,0.5102040816326531,0.4897959183673469
PGS000495,18866,8.951453070761307e-05,0.0007276904078492791,9.010706362207126,0.0127431667426607,-0.0128055524458751,0.5741015583589526,0.4258984416410474
PGS000496,41744,8.452339463382668e-05,0.0008214264756741123,22.347101953732775,0.0150041269742648,-0.0131231824353467,0.5643685320045995,0.43563146799540053
PGS000497,257,0.014683657587548637,0.10536784842579969,23.5595,0.3277,-0.2782,0.5447470817120622,0.45525291828793774
PGS000498,257,0.014683657587548637,0.10536784842579969,23.5595,0.3277,-0.2782,0.5447470817120622,0.45525291828793774
PGS000499,1119140,4.1478989462183675e-07,0.0002383010233082602,87.6004442060935,0.04420893,-0.05022156,0.5006129706739103,0.4993870293260897
PGS000500,1120410,3.073789467424784e-07,0.00024072426028877653,88.71689671972482,0.03315995,-0.05036542,0.5006203086370168,0.4993796913629832
PGS000501,1142,0.006030998248686514,0.09501299464916141,87.531,0.81,-0.6035,0.521015761821366,0.478984238178634
PGS000502,747,0.009620883534136546,0.09407631331441652,59.0296,0.3435,-0.4269,0.5381526104417671,0.46184738955823296
PGS000503,61635,-1.0183659685968202e-05,0.00137249278479818,51.699946928741824,0.0312224199678013,-0.049733242009886,0.49137665287580107,0.5086233471241989
PGS000504,148560,6.659392379480648e-07,0.0016122515045922162,142.7479726729739,0.0860912900799787,-0.0500909164169176,0.49373990306946686,0.5062600969305331
PGS000505,334,0.012154790419161675,0.08938861317960001,25.7773,0.2758,-0.2482,0.5419161676646707,0.45808383233532934
PGS000506,334,0.012154790419161675,0.08938861317960001,25.7773,0.2758,-0.2482,0.5419161676646707,0.45808383233532934
PGS000507,1119140,3.7054816652716637e-07,0.00019966418710033225,69.86504959969169,0.0296436,-0.03996776,0.5006862412209375,0.4993137587790625
PGS000508,1120410,3.7684869218595905e-07,0.0002050525158731083,70.28182621289223,0.03891549,-0.03972618,0.49962692228737693,0.5003730777126231
PGS000509,3038,-0.0037955562870309423,0.0726804355578432,185.0967,0.2758,-0.2482,0.4878209348255431,0.5121790651744569
PGS000510,1682,-0.0009376932223543403,0.0734331382168149,102.9366,0.2758,-0.2482,0.49643281807372175,0.5035671819262783
PGS000511,118388,-2.8617537715036452e-05,0.0007746117130101313,58.39077904907523,0.0171652079577771,-0.0293977371726315,0.4779538466736494,0.5220461533263506
PGS000512,286144,-1.8703402189384292e-05,0.0008844722205895585,159.92354201360007,0.0469125933904574,-0.0294186705974014,0.48720923730709015,0.5127907626929099
PGS000513,41,0.04187004132600452,0.15531780195712838,5.7495891413017235,0.449572036028684,-0.244692642323746,0.5853658536585366,0.4146341463414634
PGS000514,1119237,2.0517458977367508e-07,0.00011211300045244757,57.87237695512603,0.01572741,-0.01235556,0.5000183160492371,0.49998168395076287
PGS000515,84,0.032817388999859184,0.13913449267176609,10.432291372587546,0.449572036028684,-0.244692642323746,0.5476190476190477,0.4523809523809524
PGS000516,6977,0.0001474363274762925,0.0013634560903729098,5.979090453133885,0.014249592669171,-0.0150513045595558,0.5503798194066217,0.4496201805933782
PGS000517,10,0.04430799999999999,0.15027285910266325,1.4692819999999998,0.204799,-0.143924,0.6,0.4
PGS000518,10,0.04430799999999999,0.15027285910266325,1.4692819999999998,0.204799,-0.143924,0.6,0.4
PGS000519,1115376,-1.1633068198535669e-07,0.00011077888949670291,61.185590072474234,0.01321628,-0.01339162,0.5000528969603075,0.4999471030396924
PGS000520,1116435,6.061197994949295e-08,0.00010964596030308877,61.41837723276322,0.0129475,-0.01369944,0.4997236740159526,0.5002763259840475
PGS000521,9,0.06094577777777778,0.14930002562020694,1.3638499999999998,0.204799,-0.143924,0.6666666666666666,0.3333333333333333
PGS000522,14,0.03693364285714286,0.14883555522873979,2.038341,0.204799,-0.143924,0.5714285714285714,0.42857142857142855
PGS000523,270,0.0004550635545906669,0.0012170334776869997,0.23666778094809818,0.0055598297691362,-0.0021463451682538,0.45185185185185184,0.5481481481481482
PGS000524,2708,8.154580701795225e-05,0.000790139157284913,1.387599424292772,0.0065877701719101,-0.0037584620423869,0.5365583456425406,0.4634416543574594
PGS000525,86,0.04002834883720931,0.16332746418324623,12.138220800000001,0.466046,-0.284827,0.5581395348837209,0.4418604651162791
PGS000526,86,0.04002834883720931,0.16332746418324623,12.138220800000001,0.466046,-0.284827,0.5581395348837209,0.4418604651162791
PGS000527,1115436,-2.3911674968986334e-08,0.00017001008377616524,77.4597657422229,0.02770072,-0.02904814,0.49945581817334206,0.5005441818266579
PGS000528,1116495,-1.3339402216719402e-07,0.00017231522367030017,78.45302964568874,0.03029153,-0.02844133,0.4986542707311721,0.5013457292688279
PGS000529,310,0.027468244838709677,0.14929269644221385,39.5311301,0.466046,-0.353488,0.5580645161290323,0.44193548387096776
PGS000530,174,0.043721073563218395,0.15044030781036524,23.0815066,0.466046,-0.284827,0.5804597701149425,0.41954022988505746
PGS000531,98026,3.892659162283136e-06,0.0013219071562157454,84.63786408351652,0.0290653542409543,-0.0183991039009312,0.49289984289882277,0.5071001571011773
PGS000532,12277,4.5625707591311666e-05,0.0014023968447135938,10.207551519572043,0.0196665226086315,-0.0294021696222363,0.5019956015313187,0.4980043984686813
PGS000533,110,0.042614710909090914,0.1441073259860491,13.9009332,0.423022,-0.238705,0.5818181818181818,0.41818181818181815
PGS000534,110,0.042614710909090914,0.1441073259860491,13.9009332,0.423022,-0.238705,0.5818181818181818,0.41818181818181815
PGS000535,1115484,7.359025810162829e-08,0.00013875892038677553,59.78828818377021,0.02631001,-0.0258595,0.49990587045623247,0.5000941295437675
PGS000536,1116546,9.864073370726188e-08,0.00013813996036314368,60.25965978406544,0.02202709,-0.02495922,0.4992073770359663,0.5007926229640337
PGS000537,363,0.01173071046831956,0.13410131150340232,40.4988121,0.423022,-0.342024,0.512396694214876,0.48760330578512395
PGS000538,85,0.04574036235294117,0.15056821191713124,11.241288999999998,0.423022,-0.238705,0.5764705882352941,0.4235294117647059
PGS000539,18356,-6.37414804451353e-07,0.0010550566511886709,12.060365744486283,0.0164042355457879,-0.0121201866246707,0.4938984528219656,0.5061015471780345
PGS000540,7118,3.767701045660085e-05,0.0009235907612311083,3.630161391557415,0.0123498791927616,-0.0141264561201704,0.5,0.5
PGS000773,179,0.0681296377343529,0.04823431284074398,12.19520515444917,0.2700271372130602,0.0,0.9832402234636871,0.0
PGS000774,179,0.07008524592526211,0.05715363821932131,12.809675525343515,0.3074846997479607,-0.0512932943875505,0.9553072625698324,0.027932960893854747
PGS000775,179,0.05184159031629118,0.049739624487382936,9.52334409978231,0.4317824164255378,-0.0512932943875505,0.9273743016759777,0.0335195530726257
PGS000783,162,8.600246913580246,4.443314882339981,1393.24,38.62,5.4,1.0,0.0
PGS000873,143,0.014282680548912914,0.08463644649979003,10.06411037873228,0.2700271372130602,-0.2357223335210698,0.5384615384615384,0.46153846153846156
PGS001336,555,-0.00044419590619819817,0.0147494649240522,4.418781407040001,0.1494755,-0.1149544,0.5207207207207207,0.47927927927927927
PGS001337,195,-0.0005487616404102563,0.007596849342393888,0.72477808402,0.05186561,-0.06008734,0.48205128205128206,0.517948717948718
PGS001778,15,0.05958116549455621,0.11625523660306966,1.7199221980131258,0.2311117209633866,-0.1508228897345836,0.7333333333333333,0.26666666666666666
PGS001804,2984,0.0005337183387432414,0.009672810637057789,11.313176732406959,0.172757005540463,-0.0811210654985738,0.5191018766756033,0.4808981233243968
PGS002015,488608,2.5125986371141537e-07,4.941997754931447e-05,1.6256107387741767,0.0095737348177849,-0.0061525206727694,0.5013691957561072,0.49863080424389283
PGS002242,6494889,2.2037863868916387e-07,0.00014696935033874572,182.47392922506592,0.032224,-0.040775,0.5008271888865229,0.49917281111347706
PGS002294,111,-0.0020810810810810813,0.13012889659768012,8.611,0.215,-1.101,0.5405405405405406,0.4594594594594595
PGS003380,1142637,-1.2174500186712039e-06,0.0013149269516808705,105.88589775292064,0.362319044463864,-0.512383017344731,0.49906225686722905,0.500937743132771
PGS003396,11,0.03363636363636364,0.16578737752149453,1.7299999999999998,0.22,-0.2,0.5454545454545454,0.45454545454545453
PGS003397,42,-0.007178040571428566,0.10602660973840934,4.17562483,0.1882,-0.1707,0.4523809523809524,0.5476190476190477
PGS003398,136,0.003086764705882351,0.07202682916681608,8.371400000000001,0.2153,-0.2433,0.5073529411764706,0.49264705882352944
PGS003399,209,0.005224401913875598,0.06738873613188685,11.8401,0.2153,-0.2433,0.5263157894736842,0.47368421052631576
PGS003738,136,0.07987500000000002,0.047393144917648004,10.863000000000001,0.301,0.01,1.0,0.0
PGS003758,46861,0.06709506964698636,0.4324414380401245,12738.675953121858,6.44441178526681,-3.61808244403472,0.5463391732997589,0.45366082670024116
PGS003759,17252,-0.0033021388824484113,0.07887347043069604,1088.0358999999999,1.146,-0.4343,0.47693021099003013,0.5230697890099698
PGS003983,1137459,1.76005563513807e-06,0.0005921229152977037,122.9128581370173,0.150391,-0.107455,0.5031152771220765,0.4968847228779235
PGS003999,13086,4.451966944773225e-06,0.0017229581251516698,13.166979996121453,0.0311766045943897,-0.0220472576118261,0.4909827296347241,0.5090172703652759
PGS004025,1041298,-4.264267211628418e-07,0.0007293410209156863,81.63790568432587,0.108105383132127,-0.157898552820094,0.49859886410998583,0.5014011358900142
PGS004040,1041298,2.929742753484848e-07,0.000556203289563049,101.57021262595485,0.0790154644120179,-0.121800456884116,0.5005886883485803,0.49941131165141966
PGS004053,869407,7.801486736491673e-07,0.0006802909396205386,57.16804689553371,0.11465,-0.078745,0.5039872004711258,0.4960127995288743
PGS004069,869407,1.3043653508478533e-06,0.0005399272515839902,99.91474711293532,0.053065,-0.059657,0.5043092590696877,0.4956907409303123
PGS004083,1103877,5.356881484382367e-07,0.000251069088085261,82.91176795045277,0.0465606,-0.04912876,0.5001716676767429,0.499828332323257
PGS004107,209,-0.0014196172248803832,0.07470539348157798,13.854299999999999,0.2153,-0.2376,0.49282296650717705,0.507177033492823
PGS004123,982,0.0016601832993890016,0.051080248802285316,44.020700000000005,0.2153,-0.2376,0.5081466395112016,0.49185336048879835
PGS004137,950524,6.352759109712124e-07,0.001392081089063235,128.39040699999998,0.686808,-0.737458,0.4996412505102449,0.5003587494897551
PGS004153,1133268,-9.759437922171498e-09,0.0005627715895150498,106.20985586820612,0.116076703128763,-0.119676135225689,0.499950585386687,0.500049414613313
PGS004166,3920,-0.0001901244128021078,0.0020482651214528934,3.303544667784913,0.0101448093798751,-0.0516179424219177,0.47219387755102044,0.5278061224489796
PGS004167,717,-0.00034453190021290923,0.002974308025156684,0.6991348615628836,0.0084442518488665,-0.052158953614452,0.4797768479776848,0.5202231520223152
PGS004168,4618,-0.00020389505875308665,0.002267222277800418,4.108535732553273,0.0112040553508484,-0.0535769206892803,0.4692507579038545,0.5307492420961455
PGS004169,1361,-0.0002870191949517515,0.0024799804336104836,1.2161822132189988,0.0089436681234701,-0.0468182060011596,0.46877296105804556,0.5312270389419544
PGS004170,2278,-0.00030321236392701333,0.002950486498898402,2.051887410125901,0.0089216188729308,-0.078860041085906,0.461369622475856,0.538630377524144
PGS004242,306,0.003746078431372549,0.07177454181966846,18.6441,0.2687,-0.2609,0.5130718954248366,0.4869281045751634
PGS004295,140,0.008681787857142857,0.041307268442368,4.730037299999999,0.1587539,-0.0916223,0.6071428571428571,0.39285714285714285
PGS004296,80,0.012584670000000001,0.06565773607021433,4.4913039999999995,0.1692172,-0.1386916,0.575,0.425
PGS004297,90,0.0068383888888888895,0.04708852297374211,3.421630399999999,0.1329469,-0.1041257,0.5444444444444444,0.45555555555555555
PGS004298,900,0.000546045777777778,0.016681487841283912,9.762481599999997,0.1293449,-0.1035037,0.5466666666666666,0.4533333333333333
PGS004441,1059939,-4.2753090867847405e-07,5.6614156358985415e-05,43.80146579613274,0.0005876972038996,-0.0007625903143585,0.4980588505564943,0.5019411494435058
PGS004511,1059939,-2.8540610542612177e-08,3.611565736335744e-06,2.7937374529350403,3.65054177240447e-05,-4.41657329655243e-05,0.4984673646313609,0.5015326353686391
PGS004579,1088163,2.6969490051956563e-07,0.00020644544668714857,66.81143591528993,0.03639238,-0.04116982,0.4997697955177671,0.5002302044822329
PGS004611,76,-0.45552631578947367,1.2828403015567627,91.054,2.482,-4.332,0.32894736842105265,0.6710526315789473
PGS004688,1044110,6.129227641306144e-07,0.00022648342788030248,42.61178931162966,0.0511628,-0.046425,0.5020428882014347,0.4979571117985653
PGS004737,3666245,-3.0995175857080663e-07,0.00017373594864194785,78.22127425050479,0.0673769742319873,-0.0464162134313892,0.4960617743767806,0.5039382256232194
PGS004738,3666321,-2.896844089343579e-07,0.00017120935628653572,77.97852467559163,0.0671586141133691,-0.0459409426489248,0.4960844945109825,0.5039155054890174
